tntid,original_ts,issue_ts,finish_ts,hit
0,0,0.00027179718017578125,1.9957659516173836,False
0,0,1.9957661628723145,2.524984634729826,False
0,0,2.524984836578369,2.762321662902832,False
0,1,2.762321710586548,4.030101795175105,False
0,1,4.061513662338257,4.283586692810059,False
0,2,4.479403495788574,4.731403779983521,False
0,2,4.900503635406494,8.489193535479465,False
0,2,8.4891939163208,10.277818342690152,False
0,2,10.336063861846924,12.743151000200697,False
0,2,13.269400835037231,14.444989013315556,False
0,3,14.447514772415161,14.875570873272826,False
0,3,15.110507249832153,15.544819233309177,False
0,3,15.624551057815552,17.513973088293604,False
0,3,17.515767097473145,17.6033194065094,True
0,4,17.60332179069519,19.96354615593516,False
0,4,19.96732473373413,22.44660576313296,False
0,4,22.446605920791626,22.668211889266967,False
0,4,23.50983214378357,25.4122585773468,False
0,4,25.412258863449097,26.52008308221053,False
0,5,26.52250647544861,26.533794164657593,True
0,5,26.53379726409912,26.555602550506592,True
0,5,26.5556058883667,27.145391589369932,False
0,5,27.149548292160034,27.298233032226562,True
0,5,27.29823637008667,28.36001841910847,False
0,5,28.366223335266113,28.98172077118373,False
0,5,28.98172092437744,30.087888119291247,False
0,5,30.988874197006226,31.271919202804565,False
0,6,31.276769399642944,33.59606577188859,False
0,6,33.620659828186035,33.64673113822937,True
0,7,33.646734952926636,33.72392678260803,True
0,7,33.72393083572388,35.046702179034554,False
0,8,35.04670262336731,36.535678296322004,False
0,9,36.53601956367493,38.597498922120934,False
0,9,38.60168647766113,40.44208666899581,False
1,0,0.001203775405883789,1.0783983301258406,False
1,1,2.006838798522949,4.259011870941608,False
1,2,4.2630698680877686,4.479107093811035,False
1,2,4.47910737991333,4.690020036697388,False
1,2,4.690582036972046,6.4616969190741145,False
1,3,6.604816675186157,6.852440118789673,True
1,3,6.852444410324097,8.74241334699622,False
1,3,9.88138747215271,11.512398997418853,False
1,3,12.488378047943115,14.522223215607594,False
1,3,14.560368299484253,15.10734850474997,False
1,4,15.110471248626709,15.141643762588501,True
1,4,15.141647815704346,15.454903078079223,False
1,4,15.454903364181519,16.764356994999154,False
1,4,16.764357089996338,16.981640768051147,False
1,4,17.005862712860107,17.61702378051971,False
1,4,17.617023944854736,20.004791126604776,False
1,5,20.008748531341553,21.03859857425251,False
1,5,21.03994607925415,21.69935962590352,False
1,6,21.699360132217407,22.264010620117187,False
1,6,22.268062591552734,25.268026018735164,False
1,6,25.304103136062622,26.944453229274085,False
1,6,26.944453477859497,28.502693575827013,False
1,7,28.822118282318115,29.110658359527587,False
1,7,29.363498210906982,29.42698884010315,True
1,7,29.426992893218994,30.980937388317262,False
1,7,30.980937480926514,33.359517747442844,False
1,8,33.3622989654541,33.71373698113503,False
1,8,33.71858739852905,36.19159740583174,False
1,8,36.25411415100098,37.89116392114847,False
1,8,37.89116454124451,38.35540514459306,False
1,9,38.35540533065796,38.66391034126282,False
1,9,38.66391062736511,40.61482005076169,False
1,9,40.6148202419281,41.974070872989145,False
2,0,0.012365579605102539,2.6273505932053434,False
2,0,2.6273508071899414,2.84353084564209,False
2,0,2.8443455696105957,3.282734626285405,False
2,0,3.286062002182007,3.84200679212701,False
2,0,3.8438682556152344,4.056048345565796,False
2,0,4.056048393249512,5.610195791337155,False
2,1,5.614613771438599,5.881756734848023,False
2,1,5.881757020950317,6.600408493000407,False
2,1,6.604797840118408,6.820430946350098,False
2,2,6.824005126953125,7.186354244774622,False
2,3,7.186354637145996,7.627729368209839,False
2,3,7.631557941436768,9.877185496621404,False
2,3,9.881193399429321,13.816928304754002,False
2,3,14.007327556610107,14.370442430431906,False
2,3,14.370442628860474,15.619171069680657,False
2,3,15.619171380996704,15.897404617985735,False
2,4,16.327889442443848,16.550445747375488,False
2,4,16.550446033477783,17.206372797282793,False
2,4,17.20637321472168,18.29277536694679,False
2,4,18.293666124343872,20.217659882481883,False
2,5,20.218409776687622,22.485168073495437,False
2,5,22.51397132873535,25.6871918181282,False
2,5,25.938544273376465,28.902593218019938,False
2,5,28.904066562652588,29.363280790131135,False
2,5,29.36328101158142,29.585825872421264,False
2,5,29.58582592010498,31.06502975741769,False
2,6,31.066566944122314,31.68986572556425,False
2,6,31.689866065979004,35.46653986923381,False
2,7,35.4710578918457,38.138984773193926,False
2,7,38.33609056472778,39.19230366563333,False
2,7,39.1923041343689,39.42500467300415,False
2,8,39.42999982833862,40.118889509114304,False
2,9,40.118889808654785,41.03061337270941,False
