tntid,original_ts,issue_ts,finish_ts,hit
3507,1,1.0512304306030273,2.0687122344970703,False
3507,2,2.0,3.01065993309021,False
3507,2,2.0106630325317383,3.0267796516418457,False
3507,2,2.0267820358276367,3.0473947525024414,False
3507,2,2.0473968982696533,3.073791265487671,False
3507,3,3.0,4.126077651977539,False
3507,3,3.1260852813720703,4.145119667053223,False
3507,3,3.1451332569122314,4.206494569778442,False
3507,3,3.2065036296844482,4.234830617904663,False
3507,3,3.2348344326019287,4.273881196975708,False
3507,4,4.000296115875244,5.060314893722534,False
3507,4,4.060318470001221,5.098382234573364,False
3507,6,6.00068211555481,7.014736890792847,False
3507,11,11.0,12.00414252281189,False
3507,11,11.004154205322266,12.039327383041382,False
3507,11,11.03933048248291,12.105682134628296,False
3507,12,12.0007963180542,13.004201889038086,False
3507,13,13.0,14.002574920654297,False
3507,13,13.002577304840088,14.006175756454468,False
3507,14,14.000000238418579,15.039710521697998,False
3507,14,14.039725542068481,15.083545923233032,False
3507,14,14.083551168441772,15.131274461746216,False
3507,15,15.030573606491089,16.094619035720825,False
3507,15,15.094626665115356,15.116947412490845,True
3507,15,15.116960048675537,16.191317319869995,False
3507,15,15.191364765167236,16.21918535232544,False
3507,16,16.0,17.04455828666687,False
3507,16,16.04456400871277,16.084359645843506,True
3507,16,16.08436894416809,17.132567882537842,False
3507,16,16.132572174072266,17.19678544998169,False
3507,17,17.0,18.02195644378662,False
3507,17,17.021960020065308,18.10429811477661,False
3507,17,17.104301929473877,18.126150369644165,False
3507,18,18.00754427909851,19.06202530860901,False
3507,18,18.062028646469116,19.090190410614014,False
3507,19,19.0,20.017765760421753,False
3507,48,48.00000023841858,49.00445508956909,False
3507,49,49.00000047683716,50.02435374259949,False
3507,49,49.024356842041016,50.05954909324646,False
3507,50,50.00000023841858,51.02800369262695,False
3507,51,51.00107192993164,52.003663539886475,False
3507,51,51.003676414489746,52.00843071937561,False
3507,52,52.00329375267029,53.01853561401367,False
3507,52,52.018540143966675,53.071226358413696,False
3507,52,52.07122874259949,53.24123287200928,False
3507,53,53.0000946521759,54.00476622581482,False
3507,53,53.00476837158203,54.009368658065796,False
3507,53,53.00937056541443,54.014244079589844,False
3507,55,55.0,56.00880265235901,False
3507,55,55.00880718231201,56.01387357711792,False
3507,55,55.01387619972229,56.016557693481445,False
3507,55,55.016560316085815,56.19941568374634,False
3507,55,55.19942021369934,56.28511428833008,False
3507,57,57.000163078308105,58.00588011741638,False
3507,64,64.00077605247498,65.02445578575134,False
3507,65,65.0002510547638,66.036700963974,False
3507,65,65.03670382499695,66.08712100982666,False
3507,65,65.0871250629425,66.23809170722961,False
3507,66,66.0,67.01266837120056,False
3507,66,66.01267671585083,67.0510003566742,False
3507,66,66.05100417137146,67.0832724571228,False
3507,66,66.08327794075012,67.10496258735657,False
3507,66,66.10496664047241,67.21514511108398,False
3507,67,67.00075101852417,68.03241610527039,False
3507,67,67.0324182510376,68.10141897201538,False
3507,67,67.10142517089844,68.2122254371643,False
3507,67,67.21222877502441,68.24067616462708,False
3507,68,68.00309252738953,69.0678219795227,False
3507,68,68.06783366203308,69.15941858291626,False
3507,68,68.15942287445068,69.18274927139282,False
3507,69,69.00456738471985,70.06189489364624,False
3507,69,69.06189823150635,70.10191512107849,False
3507,69,69.10191893577576,70.16889262199402,False
3507,69,69.16889762878418,70.23231029510498,False
3507,69,69.23231339454651,70.33172965049744,False
3507,70,70.00538992881775,71.03248000144958,False
3507,70,70.03248381614685,71.066157579422,False
3507,70,70.0661633014679,71.10050773620605,False
3507,71,71.0,72.01635432243347,False
3507,71,71.01635718345642,72.03784251213074,False
3507,71,71.03784441947937,72.05915594100952,False
3507,75,75.00277757644653,76.02942132949829,False
3507,75,75.0294246673584,76.05015158653259,False
3507,76,76.0265371799469,77.0620596408844,False
3507,76,76.06208276748657,77.08968544006348,False
3507,76,76.08968901634216,77.14569687843323,False
3507,77,77.00235915184021,78.07389903068542,False
3507,77,77.07391047477722,78.12856817245483,False
3507,77,77.12857103347778,78.14087581634521,False
3507,77,77.14088678359985,78.18552207946777,False
3507,77,77.18552565574646,78.2144980430603,False
3507,77,77.21450138092041,78.23190093040466,False
3507,78,78.03332185745239,79.08400750160217,False
3507,78,78.08401775360107,78.20799231529236,True
3507,78,78.20799684524536,78.23151636123657,True
3507,78,78.23152089118958,79.25330758094788,False
3507,88,88.005300283432,89.0433075428009,False
3507,89,89.00000023841858,90.0165741443634,False
3507,90,90.00137948989868,91.0131196975708,False
3507,93,93.00029492378235,94.04293894767761,False
3507,93,93.0429458618164,94.08867621421814,False
3507,93,93.0886881351471,94.1374933719635,False
3507,93,93.13749933242798,93.15971493721008,True
3507,93,93.15971994400024,94.2444076538086,False
3507,94,94.00029945373535,94.05366134643555,True
3507,98,98.00001215934753,99.01502513885498,False
3507,98,98.01502871513367,99.04371285438538,False
3507,99,99.00020790100098,100.00453615188599,False
3507,99,99.00455260276794,99.0963933467865,True
3507,99,99.09663581848145,100.13763403892517,False
3507,99,99.13764357566833,100.18434715270996,False
3507,99,99.18435025215149,99.20295429229736,True
3507,100,100.00078558921814,101.00301265716553,False
3507,101,101.00457429885864,102.0307867527008,False
3507,102,102.00077319145203,103.00281167030334,False
3507,103,103.00253438949585,104.01998448371887,False
3507,103,103.0199944972992,104.09919857978821,False
3507,103,103.09920454025269,104.13222289085388,False
3507,104,104.00340843200684,104.03092885017395,True
3507,104,104.03093361854553,105.07381582260132,False
3507,105,105.00049090385437,106.02539944648743,False
3507,105,105.02541065216064,106.07586002349854,False
3507,106,106.00000023841858,107.03404426574707,False
3507,106,106.03404903411865,107.06643557548523,False
3507,106,106.06644010543823,107.08088159561157,False
3507,106,106.08088946342468,107.10312414169312,False
3507,106,106.10312747955322,106.30533480644226,True
3507,106,106.30533838272095,107.39394545555115,False
3507,107,107.00320029258728,108.03717541694641,False
3507,107,107.03719067573547,108.07273149490356,False
3507,107,107.07274079322815,108.10605645179749,False
3507,108,108.01702690124512,108.04513239860535,True
3507,108,108.04513716697693,109.07735419273376,False
3507,108,108.07735776901245,109.13065314292908,False
3507,109,109.00033450126648,110.04624462127686,False
3507,115,115.00000047683716,116.02794790267944,False
3507,155,155.00098657608032,155.0584933757782,True
3507,157,157.0,158.02777290344238,False
3507,157,157.0277760028839,158.0775818824768,False
3507,158,158.00000023841858,159.01803922653198,False
3507,158,158.01805305480957,159.04373049736023,False
3507,159,159.0,159.03554558753967,True
3507,160,160.0,160.06185030937195,True
3507,162,162.00032305717468,163.03568530082703,False
3507,163,163.01491856575012,164.07043743133545,False
3507,164,164.00047302246094,164.03610134124756,True
