tntid,original_ts,issue_ts,finish_ts,hit
1304,0,0.0009052753448486328,3.003781318664551,False
1304,0,0.0037860870361328125,3.0688233375549316,False
1304,0,0.06882905960083008,3.3799726963043213,False
1304,0,0.38000035285949707,3.78991961479187,False
1304,0,0.7899253368377686,0.9184753894805908,True
1304,1,1.000288724899292,4.142423152923584,False
1304,1,1.1424307823181152,4.706295728683472,False
1304,2,2.005490303039551,5.73357367515564,False
1304,2,2.7335779666900635,6.435441255569458,False
1304,3,3.435448408126831,7.0413901805877686,False
1304,3,4.041403293609619,7.494976997375488,False
1304,3,4.494982719421387,8.289348602294922,False
1304,3,5.289378643035889,9.05867624282837,False
1304,4,6.058685302734375,9.456088781356812,False
1304,4,6.456096410751343,10.264210939407349,False
1304,4,7.264215469360352,10.95513105392456,False
1304,4,7.955145835876465,11.67547607421875,False
1304,5,8.675481081008911,12.04675817489624,False
1304,5,9.046761751174927,12.227752685546875,False
1304,8,9.22780728340149,12.42086672782898,False
1304,8,9.420871019363403,12.726555347442627,False
1304,8,9.726559400558472,13.104952573776245,False
1304,8,10.10495662689209,13.330772161483765,False
1304,9,10.33077883720398,13.740070343017578,False
1304,9,10.74007511138916,14.143647193908691,False
1304,9,11.143652439117432,15.019484043121338,False
1304,10,12.019492149353027,12.312809467315674,True
1304,18,18.01441502571106,21.602236032485962,False
1304,18,18.602251052856445,22.057188034057617,False
1304,19,19.057197332382202,22.649566650390625,False
1304,19,19.649578094482422,23.5292387008667,False
1304,19,20.529242992401123,25.040525674819946,False
1304,19,22.040532112121582,25.329100370407104,False
1304,19,22.32910656929016,25.99715256690979,False
1304,21,22.997156858444214,26.775606870651245,False
1304,21,23.77562713623047,27.299318075180054,False
1304,22,24.299323320388794,28.213799476623535,False
1304,22,25.213804006576538,28.748313188552856,False
1304,22,25.748318910598755,29.174256801605225,False
1304,22,26.17426037788391,29.802585124969482,False
1304,23,26.802592515945435,30.130300760269165,False
1304,23,27.130306720733643,30.743530750274658,False
1304,23,27.74354076385498,31.19007658958435,False
1304,23,28.190093994140625,31.910924196243286,False
1304,23,28.91097092628479,32.348244190216064,False
1304,23,29.348252296447754,33.29097557067871,False
1304,23,30.2910373210907,33.78185987472534,False
1304,24,30.781867265701294,34.56970691680908,False
1304,24,31.569828271865845,35.22337317466736,False
1304,24,32.22338032722473,35.6976375579834,False
1304,24,32.69765758514404,36.111679792404175,False
1304,24,33.111698150634766,36.72929906845093,False
1304,24,33.729305028915405,37.120707988739014,False
1304,25,34.12075734138489,37.36544346809387,False
1304,25,34.36544919013977,37.8908257484436,False
1304,25,34.89083385467529,39.03645992279053,False
1304,25,36.03646755218506,39.49247193336487,False
1304,26,36.49250841140747,39.987870931625366,False
1304,26,36.98789620399475,40.175694704055786,False
1304,26,37.175772190093994,40.35558891296387,False
1304,26,37.355592250823975,37.838356018066406,True
1304,26,37.83836078643799,41.018200159072876,False
1304,26,38.01820468902588,41.20954418182373,False
1304,27,38.20955181121826,41.51828336715698,False
1304,27,38.518304109573364,42.0110445022583,False
1304,27,39.011051654815674,42.16958403587341,False
1304,44,44.0,47.04267430305481,False
1304,44,44.04273080825806,44.25015926361084,True
1304,44,44.25022053718567,47.69771933555603,False
1304,44,44.69773054122925,48.006786584854126,False
1304,44,45.006789207458496,48.01893448829651,False
1304,45,45.01894021034241,45.031044006347656,True
1304,45,45.031049489974976,48.179787397384644,False
1304,46,46.02642011642456,49.3441059589386,False
1304,46,46.34411263465881,50.01489233970642,False
1304,46,47.014896392822266,50.55843186378479,False
1304,47,47.55844259262085,51.09047603607178,False
1304,47,48.0904815196991,51.98535466194153,False
1304,47,48.985358476638794,52.32591676712036,False
1304,48,49.32593011856079,52.96930980682373,False
1304,48,49.96931576728821,54.01383996009827,False
1304,48,51.01384472846985,54.477354764938354,False
1304,48,51.47736573219299,55.017611026763916,False
1304,48,52.01761603355408,55.409465074539185,False
1304,48,52.409531593322754,55.88861107826233,False
1304,48,52.88861656188965,56.753281593322754,False
1304,48,53.753286600112915,54.24243140220642,True
1304,49,54.24245023727417,58.00342774391174,False
1304,49,55.00343632698059,58.39800262451172,False
1304,49,55.398045778274536,58.77888298034668,False
1304,49,55.778891801834106,59.351494550704956,False
1304,49,56.351513624191284,59.67441129684448,False
1304,50,56.674415826797485,57.04584217071533,True
1304,50,57.04585099220276,60.479796171188354,False
1304,50,57.47982954978943,60.94810175895691,False
1304,50,57.948105812072754,61.11985898017883,False
1304,50,58.11986303329468,61.29075622558594,False
1304,50,58.29076027870178,61.67149090766907,False
1304,50,58.67149543762207,61.99935841560364,False
1304,51,58.99936771392822,62.21925234794617,False
1304,51,59.219261169433594,62.42462110519409,False
1304,52,59.42462873458862,62.58863830566406,False
1304,52,59.58869504928589,62.9840521812439,False
1304,52,59.98410439491272,63.21060585975647,False
1304,52,60.21061062812805,60.412352085113525,True
1304,52,60.412365436553955,63.67744541168213,False
1304,53,60.677451610565186,64.25897550582886,False
1304,53,61.25898241996765,61.729610204696655,True
1304,53,61.72962498664856,65.64426231384277,False
1304,53,62.6442756652832,63.141902446746826,True
1304,53,63.14200043678284,66.6047899723053,False
1304,53,63.604796171188354,67.16763544082642,False
1304,54,64.167640209198,64.51431322097778,True
1304,54,64.51436829566956,68.00028610229492,False
1304,54,65.0002908706665,68.21625852584839,False
1304,54,65.21626305580139,68.44329762458801,False
1304,54,65.4433023929596,68.6562569141388,False
1304,55,65.65626382827759,65.99622225761414,True
1304,55,65.99624490737915,66.0116446018219,True
1304,55,66.011647939682,66.48973727226257,True
1304,55,66.48974442481995,70.00363636016846,False
1304,55,67.00364232063293,70.01455211639404,False
1304,55,67.01455545425415,70.09995174407959,False
1304,55,67.09995460510254,67.58794808387756,True
1304,56,67.58795738220215,71.01040410995483,False
1304,56,68.0104591846466,71.03000211715698,False
1304,56,68.03002309799194,71.11365938186646,False
1304,56,68.11371874809265,71.586829662323,False
1304,56,68.58683657646179,72.00586175918579,False
1304,56,69.00593447685242,69.06689381599426,True
1304,58,69.06689953804016,72.23954129219055,False
1304,58,69.23954582214355,72.5351288318634,False
1304,58,69.53513312339783,72.90248012542725,False
1304,58,69.90249156951904,73.1052942276001,False
1304,59,70.10534524917603,73.38902950286865,False
1304,59,70.3890380859375,73.6077868938446,False
1304,59,70.60780811309814,74.03529620170593,False
1304,60,71.03530359268188,74.60997915267944,False
1304,60,71.61002898216248,74.93975925445557,False
1304,60,71.93976998329163,75.72927784919739,False
1304,60,72.72928547859192,75.9842586517334,False
1304,60,72.98426342010498,76.19109225273132,False
1304,60,73.19110441207886,76.36949300765991,False
1304,60,73.36953020095825,73.63256883621216,True
1304,61,73.63262963294983,77.14202833175659,False
1304,61,74.1420350074768,77.4857668876648,False
1304,61,74.48577976226807,78.00062155723572,False
1304,61,75.00062584877014,78.18192529678345,False
1304,62,75.1819360256195,78.35936713218689,False
1304,62,75.35938835144043,78.59386658668518,False
1304,62,75.59387135505676,79.10465502738953,False
1304,62,76.10466885566711,79.37633562088013,False
1304,63,76.37633943557739,79.65979027748108,False
1304,63,76.65985226631165,80.00684356689453,False
1304,63,77.00685048103333,80.48808073997498,False
1304,63,77.48808550834656,80.98967409133911,False
1304,64,77.98967838287354,81.17151474952698,False
1304,64,78.17151999473572,81.60367918014526,False
1304,64,78.6036958694458,79.00401592254639,True
1304,64,79.00404930114746,79.20982265472412,True
1304,65,79.20982813835144,79.42799472808838,True
1304,65,79.42800664901733,79.63013529777527,True
1304,82,82.00248694419861,85.07553720474243,False
1304,82,82.07558965682983,82.09094333648682,True
1304,83,83.0,83.16579341888428,True
1304,86,86.00025463104248,89.17324829101562,False
1304,86,86.17326021194458,86.4346137046814,True
1304,86,86.43461799621582,89.81360530853271,False
1304,86,86.81361055374146,87.10482215881348,True
1304,86,87.1048481464386,90.27707600593567,False
1304,87,87.27712869644165,90.68818306922913,False
1304,87,87.68820118904114,88.03994536399841,True
1304,87,88.03995037078857,91.2627465724945,False
1304,88,88.26275658607483,91.50380301475525,False
1304,88,88.5038070678711,92.11693692207336,False
1304,88,89.11695265769958,93.14375257492065,False
