ts,key,key size,val_size,tntid,op,ttl
0,z44uy84y4444445vUc6K4464444yIIvK4uN44448vtMXvzM03zwA3PSLHzHC3qGLvbvtTbGLvtgYMJn0MP8444==,88,335,109,get,0
0,z44uy84y44444436VJ8F44i444444sidq884u84444nF44Cg2Jm_Swlo4od4y84444wzii44,72,455,159,get,0
0,z44uy84y44444uGaoUCF44i444444sbXQo84u84444GF44CgHNMT-Qmou4d4y84444wHq444,72,335,272,get,0
0,z44uy84y444444GHWtGK4464444yIIvK4uN44448Hz8eHc8rTzC7vbhPHzVt3Jn0HzCXHPV03bv7MqG0HcM444==,88,323,276,get,0
0,z44uy84y44444vVd3x7F44i444444vtmCi84u84444nF44CKuzF1RAR844d4y84444wuIi44,72,30,290,get,0
0,z44uy84G444444bESACK4464444yIIv444==,36,383,344,get,0
0,z44uy84y44444uGaoUCF44i444444sbXQo84u84444GF44CgHNMT-Qmou4d4y84444wHq444,72,335,272,get,0
0,z44uy84y44444u2T5_8K4464444yIIvK4uN444483cC5HJH9vzgPMJIJHbG0TcY9McntTbi7TqGeTcCLMcMn4yn4444u444=,96,323,443,get,0
0,z44uy84y44444u4jkPCK4464444yIIvK4uN44448vbIPvtG0TqG5TzAJHzGOTzCoMtCLvqMtMPnoMqwCMJvn4yn4444u444=,96,311,457,get,0
0,z44uy84y4444443LWO7K4464444yIIvK4uN44448vcneHbitHzi7TzhJHz4oM5wP3Pn73zir3c39TbVrHPC444==,88,323,563,get,0
0,z44uy84G444444h_mJO444==,24,527,671,get,0
0,z44uy84yGyDrHI_qC44F44i4444443pVc484u84444nF44CiQ2n30gci44d4y84444wigi44,72,311,764,get,0
0,z44uy84yztjAuXbVM44F44i444444svLm484u84444nF4482T-VUS3g844d4y84444wIVo44,72,311,790,get,0
0,z44uy84yy0O5sCsqV4Gn44M4444yyo4F44444ChI444=,44,431,865,get,0
0,z44uy84y444444hRkF6K4464444ygGVK4uN44448TzuJ3cvevtYCHbn5HznLvz8L3c3PHJn7HJIATbIY3cSn4yn4444y444=,96,335,962,get,0
0,z44uy84y44444hypk5on44M4444yyo4F4444uCIIVCkigi44,48,527,969,get,0
0,z44uy84y444444ngZLnF44i444444shfK884u84444nF44Cgn7fe3EIi44d4y84444wwc844,72,335,1044,get,0
0,z44uy84y44444uykveiK4464444yxViK4uN44448HtHA3JV0vcwYMJhAHzVO3zCOHtiOMtuAHcuYMPnLTcV444==,88,323,1103,get,0
0,z44uy84G444444hYtu6n44M4444y444=,32,479,1044,get,0
0,z44uy84G444444bOYddn44M4444w444=,32,383,1334,get,0
0,z44uy84y444444GbpvnF44i444444lPKy884u8444uvF44CiW950Wuli44d4y84444wVV844,72,335,1425,get,0
0,z44uy84y444444GbpvnF44i444444lPKy884u8444uvF44CiW950Wuli44d4y84444wVV844,72,335,1425,get,0
0,z44uy84y44444hmk0t4F44i444444leJ7i84u84444nF44C2dMzHwYco4id4y84444wHq444,72,311,1103,get,0
0,z44uy84G444444bsZN4n44M4444y444=,32,335,790,get,0
0,z44uy84yzYqzm6YVS44F44i444444leCLo84u8444uvF44Cg2X4Z9eR848d4y84444wVV844,72,335,865,get,0
0,z44uy84y44444usZuYVK4uN44448vcMO3zn0Tqw93JwJHb3PHJwP3P8XHzRPH5v5H5hPMJv444==,76,335,563,get,0
0,z44uy84y444444hbzlOK4uN44448Hbi5vPno3PwY3zGoHbGtH5hCvqV0v5nrMPuJvPRPMcv444==,76,323,457,get,0
0,z44uy84G444444bO3X6444==,24,359,1826,get,0
0,z44uy84yzFKXG9PVv44K4464444yxVi444==,36,503,443,get,0
0,z44uy84y44444vVMS3Cn44M4444y444=,32,503,563,get,0
0,z44uy84y44444uJCLs8F44i444444sbKKo84u8444uvF44CgnXsX4kfiuid4y84444wzii44,72,335,1425,get,0
