ts,key,key size,val_size,tntid,op,ttl
0,z44uy84yyD6VxFvVd4Gn44M4444w444=,32,767,1138,get,0
0,z44uy84y444444KYvr8K4464444yIIvK4uN44448HJIJHt39HbH93JICHzn5MJG03cG7M5ie3PAPv539MP4444==,88,323,1176,get,0
0,z44uy84y44444KaYf-7F44i444444szgn884u844446F448444441mh_B8d4y84444wUi844,72,311,1314,get,0
0,z44uy84yGiQCr8uqd44n44M4444Fyo4F44444AHu444=,44,311,1533,get,0
0,z44uy84y44444no8-Hnn44M4444Gyo4F44444Ce3444=,44,311,1533,get,0
0,z44uy84yGusW7JBW64GK4464444yIIvK4uN44448TzwC3bMX3P8tHPneHzioMcCeMJgY3bMoTqH9TcVeMtG444==,88,455,1314,get,0
0,z44uy84yyE2rD_ZV444n44M4444u444=,32,455,1866,get,0
0,z44uy84yGzsV_m5VG44F44i444444suJCo84u8444uvF44CgbZmmQIV44id4y84444wFV444,72,335,1176,get,0
0,z44uy84G444444bjCMCn44M4444y444=,32,335,2213,get,0
0,z44uy84G444444boW2on44M4444y444=,32,407,1138,get,0
0,z44uy84y44444ug0k-7K4464444yIIvK4uN44448TzSr3bMrHzneHqwYHzievtYATzHYvqne3cvOvcYPvqi444==,88,311,2264,get,0
0,z44uy84y444444zp9IGK4uN44448Tbv7vcC73qM73zGeHbnL3bh9HcnovJIJTqg9McV5Mci444==,76,323,1314,get,0
0,z44uy84yyaNyNiuIn4GF44i444444sw6b884u84444nF44Cg256G8Hm444d4y84444wIVo44,72,359,1866,get,0
0,z44uy84y4444446fRJ7n44M4444uyo4F44444CQi444=,44,479,1138,get,0
0,z44uy84y444442MKPuMF44i444444llmY884u8444uvF44CijJRVahgo44d4y84444wIVo44,72,359,1314,get,0
1,z44uyo4F44444AIcyo4f4444nzYAHc3PH5hYMJVOTcitMqI93JVrvzICM5GevbM5Tc8ty84P4444444DYnd444==,88,311,1533,get,0
1,z44uyo4F44444AIcyo4f4444nzvtHcRJvPiXTPCL3cMLvbu8MJMLTJVOvqSXMPEavtMpy44944444i44,80,335,1138,get,0
1,z44uy84y444444F5O7VF44i444444lCsgo84u84444nF44CiSFN_5eii44d4y84444wixo44,72,311,1314,get,0
1,z44uy84y444444F5O7VF44i444444lCsgo84u84444nF44CiSFN_5eii44d4y84444wixo44,72,311,1314,get,0
1,z44uy84G444444brCtiK4464444yIIv444==,36,479,1314,get,0
1,z44uy84yGUl5UC_qo44F44i444444sUru884u84444nF44Ci_ItBrRs844d4y84444wnxo44,72,311,1138,get,0
1,z44uy84G444444bwjKvK4464444yxA4444==,36,551,1533,get,0
1,z44uy84y444444GbpvnF44i444444lPKy884u8444uvF44CiW950Wuli44d4y84444wVV844,72,335,2213,get,0
1,z44uy84G444444bmAGoK4464444GiIHwii44,36,479,1138,get,0
1,z44uy84y444444FVjb6F44i444444sgOMi84u84444nF44Cg2QTHqHc448d4y84444wUi844,72,527,1314,get,0
1,z44uy84G444444bO6TOK4464444yiCV444==,36,30,1176,get,0
1,z44uy84y44444gtg5nOK4464444HVCIcIhk2gAkWcewvg444,48,479,1138,get,0
1,z44uy84G444444bJ33Gn44M4444c444=,32,335,3352,get,0
1,z44uy84y444444kZ_54444==,24,407,1533,get,0
1,z44uy84y444444wpcC6F44i444444svkui84u8444uvF44Cg2TxggwR8u8d4y84444exgIHVWOkbWeR2VCLG444=,88,335,3352,get,0
1,z44uy84G444444bOCf4K4464444yIIv444==,36,311,2213,get,0
1,z44uy84G444444hYtu6n44M4444y444=,32,479,2213,get,0
1,z44uy84y444444VO4m4K4464444yIIvK4uN44448vc4oHzhAH539vzS5HbG0Hqw9vtRCvcM5Hti7HqVO3z4444==,88,335,1314,get,0
1,z44uy84y44444wDbALnF44i444444INDB884u8444uvF44Cg2qilhkM444d4y84444wIVo44,72,30,3352,get,0
1,z44uy84G444444bOCrM444==,24,335,3352,get,0
1,z44uy84y44444K26-PM444==,24,551,1176,get,0
1,z44uy84yz5jGc5FVo44F44i444444sbmXo84u84444CF44CirwsVNhg844d4y84444wFV444,72,335,1314,get,0
1,z44uy84y444444NrveoF44i444444siyv884u84444nF44CgHQQEBIlo4od4y84444guVOAu444=,76,311,1314,get,0
1,z44uy84y4444440l1vCF44i444444le5O484u84444nF44844444zAD7rid4y84444wIVo44,72,335,1866,get,0
1,z44uy84yzDXtkUdVo44F44i444444sgHH884u84444nF44Cg27vCaQV444d4y84444wTq844,72,455,1314,get,0
1,z44uy84y444444Mxvoin44M4444Gyo4F44444AIc444=,44,311,1176,get,0
1,z44uy84y444444GbpvnF44i444444lPF-o84u8444uvF44CiWeGN0Qlo44d4y84444wHq444,72,407,1314,get,0
1,z44uy84y444444hyWZ6K4464444yiAnK4uN444483zSoMP4evtVXHcCXHbw9HqwYMqGXTcMX3bw9Hbir3qVn4yn4444y444=,96,335,1533,get,0
1,z44uy84y444444wSzUGn44M4444Fyo4F44444ChI444=,44,311,2264,get,0
1,z44uy84y444444zWJOvK4464444ygOnK4uN44448MqM73c8rvqG53zSLHbVX3cAJ3zVX3zGtvqv5Hci0MJn444==,88,30,1533,get,0
2,z44uy84yGzgm4LsIV44F44i444444svUn884u84444CF44Cgve9Y7Hco48d4y84444wFV444,72,479,1866,get,0
2,z44uy84G444444bZquVn44M4444u444=,32,359,1533,get,0
2,z44uy84y444442qC0FOK4464444ycI8K4uN44448vP4X3zuJMc85HtvXHz8tHP87vcVeHbV5M5I93P3CvPv444==,88,30,2213,get,0
2,z44uy84y444444SUxGVn44M4444yyo4F44444CQi444=,44,527,1866,get,0
2,z44uy84yzS7sWdvIo4GF44i444444ctPao84u84444nF44CTWKUVaLc848d4y844443ugAwwiOG444==,80,383,3352,get,0
2,z44uy84yzBhG2_7VO44F44i444444sgJE884u84444GF44CgiszjU0m444d4y84444wFV444,72,407,1533,get,0
2,z44uy84y444444wpcC6F44i444444svkui84u8444uvF44Cg2TxxwLco48d4y84444whVo44,72,311,2264,get,0
2,z44uy84y444444FY3fSK4464444ygOnK4uN44449MqRdRbntiPh3lchoMJeTmVguSeHuvG3XMOwDSIN5gIIGii84n84444G444==,100,335,1866,get,0
2,z44uy84y444444yu3p4F44i444444s2eP484u84444nF44Cg2LhgH0R44id4y84444wIVo44,72,311,1533,get,0
2,z44uy84y444444wjLgVn44M4444uyo4F44444AIc444=,44,479,1176,get,0
2,z44uy84y444444wjLgVn44M4444uyo4F44444AIc444=,44,479,1176,get,0
2,z44uy84yyrIAE7ZqG44n44M4444Fyo4F4444uGhcxVG444==,48,311,2213,get,0
2,z44uy84G444444btpYCn44M4444y444=,32,383,2213,get,0
2,z44uy84G444444btV66n44M4444y444=,32,599,1314,get,0
2,z44uy84y44444zUM8tOF44i444444ldoE484u84444nF44CiXWJqVHlo44d4y84444wFV444,72,335,1866,get,0
2,z44uy84y444444GnLiiK4464444yIIvK4uN44448vJhCTcnrHcM03qV7HzIJvJnLMciOvqML3bVXMPwJ3qMn4yn44444444=,96,335,1533,get,0
2,z44uy84yzz26L21Wd44F44i444444svvL484u844446F448vv-PG-0mo44d4y84444wUi844,72,30,1138,get,0
2,z44uy84yyJOj1NfW844F44i444444W9DPi84u84444nF44Cgw4_xURg844d4y84444wwc844,72,335,2264,get,0
2,z44uy84y44444yGc-W4F44i444444s2Udi84u84444CF44CgTfhw0Ico4id4y84444wUi844,72,311,1138,get,0
2,z44uy84yyE2rD_ZV444n44M4444u444=,32,455,1314,get,0
2,z44uy84y444444RzjRdF44i444444I3K8o84u84444nF44CTboqxIYV444d4y84444wIVo44,72,491,2213,get,0
2,z44uy84y44444FH_y1VF44i444444lOjio84u84444nF44CiNvQ2dwmiu4d4y84444wwc844,72,311,2213,get,0
2,z44uy84yyJOj1NfW844F44i444444W9DPi84u84444nF44Cgw4_xURg844d4y84444wwc844,72,335,2264,get,0
2,z44uy84y44444vuF1bNn44M4444yyo4F44444CAG444=,44,359,1138,get,0
2,z44uy84y44444vVMS3Cn44M4444y444=,32,503,3352,get,0
2,z44uy84G444444bOF0CK4464444wVekucVIxxVHu444=,44,335,2264,get,0
2,z44uy84yz13SqcDW844F44i444444sbKci84u84444GF44CgwKSjskM448d4y84444wIVo44,72,311,2213,get,0
2,z44uy84y44444GWYdtMK4464444yIIvK4uN44448Mt4OM5no3qVLMP3AHz8rH5GtvJi53bHAHzwPTqM7Hbn444==,88,311,1138,get,0
2,z44uy84y444444bQUdCK4464444yIIvK4uN44448vPC5HPn7vtGXM5GOHbIJHzA9HzStHzuCTzv5TqGe3bGn4yn4444u444=,96,311,1138,get,0
2,z44uy84G444444bOYXdK4464444yxA4444==,36,335,1138,get,0
2,z44uy84G444444h_mJO444==,24,527,1176,get,0
