ts,key,key size,val_size,tntid,op,ttl
0,z44uy84G444444bEP8d444==,24,383,1563,get,0
1,z44uy84y44444uwf7gVF44i444444Uupd884u84444nF44844444GA_Yhid4y84444wix444,72,311,3444,get,0
2,z44uy84yzz26L21Wd44F44i444444svvL484u844446F448vv-PG-0mo44d4y84444wUi844,72,30,3444,get,0
2,z44uy84G444444bIv0M444==,24,359,3444,get,0
2,z44uy84G444444bOg5Cn44M4444w444=,32,455,3444,get,0
2,z44uy84yy0B8LulI444F44i444444sg-Yi84u84444nF44CgiwSPEEmo44d4y84444wcii44,72,311,3444,get,0
2,z44uy84y44444y2SbFnn44M4444yyo4F44444AIc444=,44,311,1563,get,0
2,z44uy84yz-3XFeYqC44K4464444yIIvK4uN44448MJGtTcR9vPG73c80HzCrHbhJ3Pvr3qiOv5n0HqiLTz4444==,88,311,1563,get,0
2,z44uy84G444444btn1oK4464444yxVi444==,36,311,1563,get,0
3,z44uy84y444444KuTOdF44i444444wy-io84u8444uvF44CTvYxxSAf84id4y84444wUi844,72,335,1563,get,0
3,z44uy84yGTsrD-dWC44K4464444yIIvK4uN44448HPH9MtCOvcnOMqMeHzGovJwCvbhYHPitvbnoMPhCMJvn4yn4444y444=,96,30,1563,get,0
3,z44uy84y444444zkuMdF44i444444syAjo84u84444nF44CgFAtEbgmo44d4y84444wUi844,72,455,1563,get,0
3,z44uy84y444444wrEavK4464444yIhS444==,36,371,1563,get,0
3,z44uy84yzYK-jx9I744n44M4444uyo4F44444CQi444=,44,347,1563,get,0
4,z44uy84y44444wlOxxGK4464444yIIvK4uN44448vzC5M5VXTc8rMqH9HzVtTzY9HtAYHcVoTcioTcnLTbV444==,88,30,1563,get,0
4,z44uy84yGUJ-ZxzV744F44i444444sxzGi84u84444nF44Cg2hREmAV444d4y84444wHq444,72,311,1563,get,0
4,z44uy84yz3vNJAmq744F44i444444sv90o84u844446F448HCtrlI0s844d4y84444wHq444,72,30,3444,get,0
5,z44uy84y44444vVMS3Cn44M4444y444=,32,503,3444,get,0
6,z44uy84y444444kZ_54444==,24,407,3444,get,0
6,z44uy84G444444brmhSK4464444yxA4444==,36,359,3444,get,0
7,z44uy84G444444bESACK4464444yIIv444==,36,383,3444,get,0
7,z44uy84G444444zVSWiK4464444yVG8444==,36,335,3444,get,0
7,z44uy84y44444upN6QSF44i444444sF1V884u84444nF44CiL_MU_IR844d4y84444wwg444,72,335,3444,get,0
7,z44uy84G444444bLL6v444==,24,503,3444,get,0
8,z44uy84G444444bdsbin44M4444y444=,32,479,3444,get,0
8,z44uy84yzTLiPR4WS4GF44i444444WXEmo84u84444nF44Ci_RtOpumo44d4y84444wIVo44,72,311,3444,get,0
9,z44uy84y44444FlGdRMK4464444yIIvK4uN44448Tbn5HPStHP8LTzAPHz8tvqn5HciovJgP3JgAHtSO3qGn4yn4444y444=,96,30,1563,get,0
9,z44uy84y44444vuF1bNn44M4444yyo4F44444CAG444=,44,359,1563,get,0
10,z44uy84y444444nadg6F44i444444sibni84u84444nF44Cg2emBMeli44d4y84444wzii44,72,335,1563,get,0
10,z44uy84yydHpOByVn44F44i444444MpmX484u844446F448FoXZcdwi844d4y84444wFV444,72,311,1563,get,0
10,z44uy84y44444z1vOx4F44i444444sgweo84u8444uvF44Cg2fuf8hco4id4y84444wcii44,72,335,1563,get,0
