ts,key,key size,val_size,tntid,op,ttl
0,z44uy84yzBhG2_7VO44F44i444444sgJE884u84444GF44CgiszjU0m444d4y84444wFV444,72,407,50,get,0
0,z44uy84y44444vIVg_Vn44M4444c444=,32,335,2361,get,0
1,z44uy84yy7J-8GeIM44K4464444yiOG444==,36,479,2835,get,0
1,z44uy84y44444n5hs5CK4464444yiOGK4uN444483c47vzRYMtV0v5vXHbVXTzC0vqv03JMXHJVXM5wYvqn444==,88,30,2835,get,0
1,z44uy84G444444bjCMCn44M4444y444=,32,335,2361,get,0
1,z44uy84y44444zUM8tOK4uN44448HPnr3qgYTqntTbi5HbgCvbnrH5MOvcVOvPVovPn03zi444==,76,551,50,get,0
1,z44uy84y444444sJXXVn44M4444yyo4F44444CHu444=,44,311,50,get,0
1,z44uy84G444444bOiPiK4464444yxA4444==,36,479,50,get,0
1,z44uy84yz72hcCNVS4GF44i444444si6O484u84444nF44Cg2Pt6PhR44id4y84444wzii44,72,335,2361,get,0
2,z44uy84y444444IwAt8F44i444444cn48884u8444uvF44CgUF9HNklo44d4y84444wIVo44,72,311,2835,get,0
2,z44uy84y444444IwAt8F44i444444cn48884u8444uvF44CgUF9HNklo44d4y84444wIVo44,72,311,50,get,0
2,z44uy84G444444bLju8n44M4444y444=,32,359,2361,get,0
2,z44uy84G444444u5U-GK4464444yxVi444==,36,347,2361,get,0
2,z44uy84yy0MkLAbqv4in44M4444yyo4F44444Chx444=,44,359,2835,get,0
2,z44uy84y444444huTRdF44i444444sUlM484u84444nF448444444VG05od4y84444wbV844,72,311,50,get,0
2,z44uy84G444444bOb0on44M4444y444=,32,479,2361,get,0
2,z44uy84G444444br9r8K4464444yIIv444==,36,359,50,get,0
3,z44uy84y444444gVwKnK4464444yIIvK4uN44448TcM03ch9Tq3AMJvOHbgP3JG53cuAMcStHqMt3PIAMcV444==,88,30,50,get,0
3,z44uy84G444444bsZN4n44M4444y444=,32,335,2361,get,0
3,z44uy84y44444439-PCF44i444444sgI4i84u84444nF44Cg26j6twc444d4y84444wIVo44,72,335,50,get,0
3,z44uy84y444444ciX_iK4464444yIIvK4uN44448vbH9vqMXMcvLvzYCHb3CTzY93cMt3PwCvcH9HzwYvPi444==,88,335,2361,get,0
3,z44uy84G444444btpTVK4464444ygGV444==,36,311,50,get,0
3,z44uy84y444444F5O7VF44i444444lCsgo84u84444nF44CiSFN_5eii44d4y84444wixo44,72,311,50,get,0
3,z44uy84G444444bRZrOn44M4444y444=,32,383,2361,get,0
3,z44uy84yGUJ-ZxzV744F44i444444sxzGi84u84444nF44CgiVex7Ec444d4y84444whgo44,72,311,50,get,0
3,z44uy84y44444yGYI3GF44i444444I8Rhi84u84444nF44C2uOP2N0fi4id4y84444wFV444,72,407,50,get,0
4,z44uy84G444444bTzgVK4464444yiOG444==,36,323,2361,get,0
4,z44uy84yyD6VxFvVd4Gn44M4444w444=,32,767,2835,get,0
4,z44uy84yGiqW-xgq44GK4464444yIIvK4uN44448vzG7vzv0TcMrTcGeHzGevqn73cYJvc8XvtV7Mc4o3PV444==,88,335,2835,get,0
4,z44uy84y44444423MA4n44M4444Fyo4F44444CIc444=,44,311,2835,get,0
4,z44uy84yzYjkeoxVS44F44i444444sTa5o84u8444uvF44CgTUK_kEii4id4y84444wFV444,72,335,2361,get,0
4,z44uy84G444444b8yFnK4464444yiOG444==,36,30,2361,get,0
4,z44uy84G444444brgLV444==,24,311,2361,get,0
4,z44uy84y444444Ik0L8F44i444444sK1eo84u84444nF44844444uWXab4d4y84444wzii44,72,30,2361,get,0
4,z44uy84y44444vW5VynF44i444444ltbH884u84444nF44CiW-mFGgc844d4y84444wzii44,72,455,2835,get,0
4,z44uy84G444444bESACK4464444yIIv444==,36,383,2361,get,0
4,z44uy84G444444bOC4O444==,24,479,2361,get,0
4,z44uy84G444444bdsbin44M4444y444=,32,479,2361,get,0
5,z44uy84y44444uWWwFCF44i444444si8Ei84u84444CF44Cg2jq4NQc84od4y84444wFV444,72,455,50,get,0
5,z44uyo4F44444AIcyo4f4444nzvtHcRJvPiXTPCL3cMLvbu8MJMLTJVOvqSXMPEavtMpy44944444i44,80,335,2835,get,0
5,z44uy84yGzsV_m5VG44F44i444444suJCo84u8444uvF44CgbZmmQIV44id4y84444wFV444,72,335,2361,get,0
6,z44uy84y44444y4W0GdF44i444444cX1co84u8444uvF44Cif4FNkhgo44d4y84444wyV844,72,503,2361,get,0
6,z44uy84y444444GvJuCK4464444yIIvK4uN44448HqVrHtGLHcGLvJHPHbitvP8oTb3CHqMoTqwCvbhATzCn4yn44444444=,96,311,2361,get,0
6,z44uy84G444444bLE6Mn44M4444y444=,32,455,50,get,0
6,z44uy84yGzgm4LsIV44F44i444444svUn884u84444CF44Cgve9Y7Hco48d4y84444wFV444,72,479,50,get,0
6,z44uy84y44444vIVg_Vn44M4444c444=,32,335,50,get,0
6,z44uy84y44444FAx-2on44M4444wyo4F44444AIc444=,44,527,2835,get,0
7,z44uy84yyfx-Hz6qN4GK4464444yIIvK4uN44448HzVO3bvoHtMOvJG7Hb3Yvc8tTzioMq3C3JM73qwAMPn444==,88,335,2835,get,0
