ts,key,key size,val_size,tntid,op,ttl
0,z44uy84y44444zxpaaiK4464444yIIvK4uN444483P85vtnXM5GevPMtHbi53qntHzuJMthCMqH9MqGrM5Mn4yn4444b444=,96,335,1621,get,0
0,z44uy84G444444bIv0M444==,24,359,1621,get,0
0,z44uy84yyY3dcWZV744K4uN444483PYAvJMXvcMoHcG5HbGeH5h93cC7HPICMcioHPnrHP4444==,76,323,1621,get,0
0,z44uy84y4444446p3tNK4464444ygAnK4uN44448vtR93cHAHt8OHzVoHbM7Hqn5vtSoHz8O3c8XvzIAMtV444==,88,335,1621,get,0
1,z44uy84y444444AwDUCK4uN44448vP8rTcgYTznt3JwPHzG5HqG53qHCvqveM5G0vqVt3z4444==,76,335,1621,get,0
1,z44uy84yzbduvXHq444F44i444444VaPki84u84444nF44CT0Hr19IW844d4y84444wHq444,72,311,2820,get,0
1,z44uy84y44444FCbe9NF44i444444lNLQi84u84444nF44CgzO17Cgc444d4y84444wwc844,72,479,2820,get,0
1,z44uy84y44444FCbe9NF44i444444lNLQi84u84444nF44CgzO17Cgc444d4y84444wwc844,72,479,2820,get,0
1,z44uy84y44444wwWkzOF44i444444sUGxo84u84444nF44CgU-nJpkii4id4y84444wFV444,72,335,1621,get,0
1,z44uy84G444444bmAGoK4464444GiIHwii44,36,479,1621,get,0
1,z44uy84G444444bJ33Gn44M4444c444=,32,335,2820,get,0
1,z44uy84yG2lOeYPVO44n44M4444u444=,32,359,1621,get,0
2,z44uy84G444444br4x6K4464444yIIv444==,36,479,1621,get,0
2,z44uy84yGUZ74NkVV44K4uN44448HJV53cneHtY9Tc4XHzg9vc8oHtv7Tc4tvPGX3PAJMqM444==,76,335,1621,get,0
2,z44uy84yyNLmGM9Io44K4464444ygAn444==,36,503,1621,get,0
2,z44uy84yzEWj7CuId44n44M4444yyo4F44444C0l444=,44,455,2820,get,0
2,z44uy84yzW72VJ0I44GF44i444444sKfji84u84444nF44CgHzlAxkii44d4y84444wIVo44,72,479,2820,get,0
2,z44uy84G444444btKxMn44M4444y444=,32,359,2820,get,0
3,z44uy84yGhLM2rEIV4VF44i444444l-T2o84u84444nF44CgHt5kLhco44d4y84444wKV844,72,551,2820,get,0
3,z44uy84y444444Gz8N8K4uN44448vtGeMqIC3z4ovtiLHbHJHz8OvtRYHbMtv5GXH5VeM5G444==,76,335,2820,get,0
3,z44uy84G444444bOC4O444==,24,479,2820,get,0
3,z44uy84yzUlKLKpVv44K4uN44448Tc47H5vXvcIYTzM5Hzi5MJnXHJMtH5HYHcYCTqiXHJM444==,76,30,1621,get,0
3,z44uy84yGUJ-ZxzV744n44M4444yyo4F44444CAv444=,44,323,2820,get,0
3,z44uyo4F44444CYKy84P4444444DO8o444==,36,431,2820,get,0
3,z44uy84y44444ujZp2OF44i4444443x1mi84u84444iF44844444b-j6_id4y84444wzii44,72,30,1621,get,0
3,z44uy84y44444uxyPvSF44i444444sxV7884u84444GF44CgimYB4kfi4id4y84444wIVo44,72,383,2820,get,0
3,z44uy84y44444uxyPvSF44i444444sxV7884u84444GF44CgimYB4kfi4id4y84444wIVo44,72,383,2820,get,0
3,z44uy84G444444bZj6vn44M4444G444=,32,311,2820,get,0
4,z44uy84yz0DiZ-Gqd4GF44i444444ldPSo84u8444uvF44Cif_rnkYg844d4y844443ugAwwiOG444==,80,479,2820,get,0
4,z44uy84G444444bdTPnK4464444ygGV444==,36,443,2820,get,0
4,z44uy84G444444h25CvK4464444ycI8444==,36,311,1621,get,0
5,z44uy84y444444TsYFVK4464444yxV7444==,36,347,2820,get,0
5,z44uy84y444444gVwKnK4464444yIIvK4uN44448vcwA3qV7vqMovzYCHbn5v5hCMcA9vtnLHPG03cV0Hz4444==,88,335,2820,get,0
5,z44uy84yzbduvXHq444F44i444444VaPki84u84444nF44CT0Hr19IW844d4y84444wHq444,72,311,1621,get,0
5,z44uy84y444444ngZLnF44i444444shfK884u84444nF44Cgn7fe3EIi44d4y84444wwc844,72,335,1621,get,0
5,z44uy84y44444uJCLs8F44i444444sbKKo84u8444uvF44CgnXsX4kfiuid4y84444wzii44,72,335,1621,get,0
5,z44uy84y44444vVMS3Cn44M4444y444=,32,503,2820,get,0
5,z44uyo4F44444CH2yo4f4444nbM7vtiO3cgPvzVoMcioTqG0vzS7HtiOMtG7vcG73cgJy4494444u844,80,335,2820,get,0
6,z44uy84y44444bguwVMF44i444444sh6a484u84444iF448444443GGAg8d4y84444wIVo44,72,311,4696,get,0
6,z44uy84yzO8tfcGW744K4uN44448TciOTzGOvbHJHzGrHzIPHPYCvzV0MqI9vPGXTz393qn444==,76,311,2820,get,0
6,z44uy84y444444GRGu6444==,24,419,2820,get,0
6,z44uy84yG2lOeYPVO44n44M4444u444=,32,359,4696,get,0
6,z44uy84G444444bIv0M444==,24,359,2820,get,0
