ts,key,key size,val_size,tntid,op,ttl
0,z44uy84yydHpOByVn44F44i444444MpmX484u844446F448FoXZcdwi844d4y84444wFV444,72,311,22,get,0
0,z44uy84y44444KwsdV4K4464444ycIC444==,36,323,596,get,0
0,z44uy84yy_IMESuIM44n44M4444G444=,32,311,596,get,0
0,z44uy84yGyDtbxNWd44F44i4444443pVT484u84444nF44CgHg0smQmo44d4y844443hIIw2VGV444==,80,311,22,get,0
0,z44uy84yztjAuXbVM44F44i444444svLm484u84444nF4482T-VUS3g844d4y84444wIVo44,72,311,22,get,0
0,z44uy84y444444zfMPvK4464444yIIvn4yi4444u444=,44,30,22,get,0
1,z44uy84y44444hypk5oF44i444444szmD884u8444uvF44CgUPO5hHM44id4y84444exgIHVWOkbWeR2VCLG444=,88,335,2983,get,0
1,z44uy84yG4tJOvnIV4GK4464444yIIvK4uN44448Mc3Y3bgJM5v0McCOHzS7vJnoTbwCM5nOHzgJMPhJMJVn4yn4444y444=,96,311,596,get,0
1,z44uy84G444444bOYeN444==,24,335,596,get,0
1,z44uy84y44444nqT0-vn44M4444yyo4F44444Agx444=,44,503,22,get,0
1,z44uy84yGz9_ULnWM4GF44i444444sbT8484u84444nF44Ci92h3Ahs848d4y84444wHq444,72,335,596,get,0
1,z44uy84y44444vIVg_Vn44M4444c444=,32,335,3313,get,0
1,z44uy84G444444bOIu4n44M4444y444=,32,599,22,get,0
1,z44uy84y44444zxpaaiK4464444yIIvK4uN444483P85vtnXM5GevPMtHbi53qntHzuJMthCMqH9MqGrM5Mn4yn4444b444=,96,335,2983,get,0
1,z44uy84y444444ngZLnF44i444444shfK884u84444nF44Cgn7fe3EIi44d4y84444wwc844,72,335,596,get,0
2,z44uy84G444444bOVZvK4464444yIhn444==,36,455,596,get,0
2,z44uy84G444444bD_tvn44M4444G444=,32,359,22,get,0
2,z44uyo4F44444AIcyo4f4444nzvtHcRJvPiXTPCL3cMLvbu8MJMLTJVOvqSXMPEavtMpy44944444i44,80,335,2983,get,0
2,z44uy84yGvesFluWV44F44i444444l1lIo84u84444iF448itIdQ6hRi44d4y84444wIVo44,72,311,596,get,0
2,z44uy84y444444P_-SvF44i444444sxgri84u84444CF44CgiHnZ5gmi4id4y84444wUi844,72,431,22,get,0
2,z44uy84y44444u_Fgg7F44i444444lQBb484u84444GF44Ci0q3zwwfi48d4y84444wIVo44,72,383,596,get,0
2,z44uy84yGwiESbcVV44K4464444yVG8444==,36,335,596,get,0
2,z44uy84yz72hcCNVS4GF44i444444si6O484u84444nF44Cg2Pt6PhR44id4y84444wzii44,72,335,596,get,0
2,z44uy84y444444IwAt8F44i444444cn48884u8444uvF44CgUF9HNklo44d4y84444wIVo44,72,311,3313,get,0
2,z44uy84yyelMvDvqG4GF44i444444sxsR484u84444nF44CgiY3UPLmo4od4y84444wIVo44,72,311,596,get,0
2,z44uy84yyjrh7U0qM44K4464444yIIvK4uN44448vzuCMb3aHb4XHPSBHPntTtQ8vzitHzSLvPn0HcSovzv444==,88,311,596,get,0
2,z44uy84G444444bIv0M444==,24,359,3313,get,0
2,z44uy84y444444nsonnK4uN44448vPICHPGrHP80vcu9HbGovqw9vJGXHc3JHPA9TbH93Pn444==,76,335,2983,get,0
2,z44uy84G444444br4x6K4464444yIIv444==,36,479,3313,get,0
2,z44uy84y44444yGYI3GF44i444444I8Rhi84u84444nF44C2uOP2N0fi4id4y84444wFV444,72,407,2983,get,0
2,z44uy84y44444KjY0kMn44M4444w444=,32,431,3313,get,0
2,z44uy84yznQ8OUqI744K4uN44448vPC7v539HbV0MJn0HbnrMqwYMtC0vbwY3bG0vzuJvzS444==,76,311,2983,get,0
2,z44uy84y44444F9uC8Sn44M4444yyo4F44444C0v444=,44,515,3313,get,0
2,z44uy84G444444boW2on44M4444y444=,32,407,22,get,0
3,z44uy84G444444br9r8K4464444yIIv444==,36,359,22,get,0
3,z44uy84y444444lfs4VF44i444444lrI7484u84444nF44CiMwJD-Lgi44d4y84444wzco44,72,311,2983,get,0
3,z44uy84y444444F9ee6K4464444ycA6444==,36,311,3313,get,0
3,z44uy84yz0DwWDbqC44F44i444444l_IJi84u84444nF44Cgh4xcsRfiu8d4y84444wuIi44,72,455,22,get,0
3,z44uy84y44444yvgLBGK4uN44448vqiXTbh93PG0vPw9HzRCv5Gr3cA93P8LHJgYTz4OMtG444==,76,311,3313,get,0
3,z44uy84yGzgm4LsIV44F44i444444svUn884u84444CF44Cgve9Y7Hco48d4y84444wFV444,72,479,3313,get,0
3,z44uy84y44444wDbALnF44i444444INDB884u8444uvF44Cg2qilhkM444d4y84444wIVo44,72,30,596,get,0
3,z44uy84yzamWoMmW644n44M4444y444=,32,359,596,get,0
